"PlayerID","Name"
54469,Smith Adam
54771,Fabio 
54772,Rafael 
55415,Sammon Conor
55422,Sigurdsson Gylfi
55548,Spearing Jay
55586,Baxter Jose
55604,Santon Davide
55909,Smalling Chris
56861,Frimpong Emmanuel
56864,Coquelin Francis
56944,Petrovic Radosav
56979,Henderson Jordan
57069,Tchoyi Somen
57214,AndrÃ© Santos 
57835,Gueye Magaye
58621,Walker Kyle
58771,Colback Jack
58778,Stracqualursi Denis
58786,Kelly Martin
58845,Clark Ciaran
58900,Formica Mauro
59013,Bannan Barry
59125,Wickham Connor
59304,Vuckic Haris
59325,Kakuta Gael
59936,Szczesny Wojciech
59949,Coleman Seamus
59970,Macheda Federico
60232,Dawson Craig
60865,Vellios Apostolos
61538,McManaman Callum
61933,Duffy Shane
61944,Ferguson Shane
62419,Jelavic Nikica
63370,McClean James
65807,Savic Stefan
66749,Lukaku Romelu
66797,Mignolet Simon
66978,Sordell Marvin
67731,Faurlin Alejandro
68815,Caulker Steven
73459,Richards Ashley
74208,Pogba Paul
74230,van Aanholt Patrick
75773,Lee Chung-Yong 
75880,Ayala Daniel
76359,Jones Phil
77800,Gardner Gary
78056,Romeu Oriol
78108,Coates SebastiÃ¡n
78774,Davis David
79843,Thorne George
80061,Noble Ryan
80181,McAleny Conor
80235,Boyata Dedryck
80254,Jenkinson Carl
80442,Samba DiakitÃ© 
80979,Weimann Andreas
81025,Kasami Pajtim
81880,Oxlade-Chamberlain Alex
82263,Alonso Marcos
82514,Ream Tim
83428,Hanley Grant
83701,Gorman John
86168,Rochina RubÃ©n
86364,Yennaris Nicholas
87835,Doherty Matt
87860,Morris Josh
88658,Kean Jake
88821,McEachran Joshua
88894,Barkley Ross
89328,Slew Jordan
90801,Miquel Ignasi
91126,Keane William
91128,Andrade Bruno
91979,Flanagan John
92372,Miyaichi Ryo
92488,Lowe Jason
92790,Harriman Michael
93666,Razak Abdul
95703,Lancaster Cameron
97612,Sammy Ameobi 
98464,Vela Joshua
98769,Ji Dong-Won 
103903,Henley Adam
103955,Sterling Raheem
105086,Frei Kerim
105190,Forde Anthony
105322,Riley Joe
106603,Fryers Ezekiel
107853,Trotta Marcello
114042,Carruthers Samir
